"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"vivo v80","200+","September 26, 2026 at 1:20:00 PM UTC","September 26, 2026 at 3:00:00 PM UTC","vivo v80","https://trends.google.com/trends/explore?q=vivo%20v80&geo=BD&hl=en-US"
"স্থানীয় সরকার","1K+","September 25, 2026 at 10:30:00 AM UTC","September 26, 2026 at 4:30:00 AM UTC","স্থানীয় সরকার","https://trends.google.com/trends/explore?q=%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%AF%E0%A6%BC%20%E0%A6%B8%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B0&geo=BD&hl=en-US"
"weather tomorrow","100K+","September 23, 2026 at 3:00:00 PM UTC","September 23, 2026 at 5:10:00 PM UTC","weather tomorrow","https://trends.google.com/trends/explore?q=weather%20tomorrow&geo=BD&hl=en-US"
"জাইমা রহমান","2K+","September 24, 2026 at 4:20:00 PM UTC","September 25, 2026 at 6:20:00 AM UTC","জাইমা রহমান","https://trends.google.com/trends/explore?q=%E0%A6%9C%E0%A6%BE%E0%A6%87%E0%A6%AE%E0%A6%BE%20%E0%A6%B0%E0%A6%B9%E0%A6%AE%E0%A6%BE%E0%A6%A8&geo=BD&hl=en-US"
"আইন","5K+","September 22, 2026 at 10:10:00 AM UTC","September 23, 2026 at 12:20:00 PM UTC","আইন","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%87%E0%A6%A8&geo=BD&hl=en-US"
"লিওনেল স্কালোনি","1K+","September 23, 2026 at 4:30:00 PM UTC","September 26, 2026 at 4:30:00 AM UTC","লিওনেল স্কালোনি","https://trends.google.com/trends/explore?q=%E0%A6%B2%E0%A6%BF%E0%A6%93%E0%A6%A8%E0%A7%87%E0%A6%B2%20%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%A8%E0%A6%BF&geo=BD&hl=en-US"
"bigg boss","200+","September 26, 2026 at 2:40:00 PM UTC","September 26, 2026 at 4:00:00 PM UTC","bigg boss","https://trends.google.com/trends/explore?q=bigg%20boss&geo=BD&hl=en-US"
"weather","50K+","September 24, 2026 at 1:10:00 AM UTC","September 24, 2026 at 2:40:00 AM UTC","weather","https://trends.google.com/trends/explore?q=weather&geo=BD&hl=en-US"
"চাকরি","2K+","September 25, 2026 at 7:40:00 AM UTC","September 25, 2026 at 4:40:00 PM UTC","চাকরি","https://trends.google.com/trends/explore?q=%E0%A6%9A%E0%A6%BE%E0%A6%95%E0%A6%B0%E0%A6%BF&geo=BD&hl=en-US"
"fc mobile","2K+","September 24, 2026 at 1:10:00 AM UTC","September 25, 2026 at 3:00:00 AM UTC","fc mobile","https://trends.google.com/trends/explore?q=fc%20mobile&geo=BD&hl=en-US"
"arman tsarukyan","5K+","September 20, 2026 at 4:00:00 PM UTC","September 23, 2026 at 12:10:00 PM UTC","arman tsarukyan","https://trends.google.com/trends/explore?q=arman%20tsarukyan&geo=BD&hl=en-US"
"india vs japan","10K+","September 22, 2026 at 9:00:00 AM UTC","September 23, 2026 at 8:50:00 AM UTC","india vs japan,ind vs japan,ind vs jpn,japan vs india,jpn vs ind,kendel kadowaki-fleming,india national cricket team vs japan national cricket team match scorecard,ibrahim takahashi","https://trends.google.com/trends/explore?q=india%20vs%20japan&geo=BD&hl=en-US"
"flow ai","5K+","September 22, 2026 at 8:50:00 AM UTC","September 24, 2026 at 6:00:00 AM UTC","flow ai","https://trends.google.com/trends/explore?q=flow%20ai&geo=BD&hl=en-US"
"ghana national football team","2K+","September 25, 2026 at 12:20:00 AM UTC","September 25, 2026 at 8:00:00 AM UTC","ghana national football team,ivory coast national football team vs ghana national football team standings","https://trends.google.com/trends/explore?q=ghana%20national%20football%20team&geo=BD&hl=en-US"
"weather","50K+","September 23, 2026 at 12:50:00 AM UTC","September 23, 2026 at 3:00:00 AM UTC","weather","https://trends.google.com/trends/explore?q=weather&geo=BD&hl=en-US"
"কমিটি","5K+","September 23, 2026 at 10:10:00 AM UTC","September 24, 2026 at 3:20:00 AM UTC","কমিটি","https://trends.google.com/trends/explore?q=%E0%A6%95%E0%A6%AE%E0%A6%BF%E0%A6%9F%E0%A6%BF&geo=BD&hl=en-US"
"ওবায়দুল কাদের","2K+","September 23, 2026 at 11:30:00 PM UTC","September 24, 2026 at 10:30:00 PM UTC","ওবায়দুল কাদের","https://trends.google.com/trends/explore?q=%E0%A6%93%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A6%E0%A7%81%E0%A6%B2%20%E0%A6%95%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0&geo=BD&hl=en-US"
"রাইমা সেন","1K+","September 25, 2026 at 7:30:00 AM UTC","September 26, 2026 at 12:50:00 AM UTC","রাইমা সেন","https://trends.google.com/trends/explore?q=%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%AE%E0%A6%BE%20%E0%A6%B8%E0%A7%87%E0%A6%A8&geo=BD&hl=en-US"
"khatron ke khiladi season 15","2K+","September 21, 2026 at 9:30:00 AM UTC","September 23, 2026 at 11:50:00 AM UTC","khatron ke khiladi season 15","https://trends.google.com/trends/explore?q=khatron%20ke%20khiladi%20season%2015&geo=BD&hl=en-US"
"দৈনিক ইত্তেফাক","2K+","September 24, 2026 at 3:10:00 AM UTC","September 24, 2026 at 5:30:00 PM UTC","দৈনিক ইত্তেফাক","https://trends.google.com/trends/explore?q=%E0%A6%A6%E0%A7%88%E0%A6%A8%E0%A6%BF%E0%A6%95%20%E0%A6%87%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%87%E0%A6%AB%E0%A6%BE%E0%A6%95&geo=BD&hl=en-US"
"ভূমি সংস্কার","2K+","September 25, 2026 at 3:30:00 AM UTC","September 25, 2026 at 3:00:00 PM UTC","ভূমি সংস্কার,ভূমি সংস্কার বোর্ড","https://trends.google.com/trends/explore?q=%E0%A6%AD%E0%A7%82%E0%A6%AE%E0%A6%BF%20%E0%A6%B8%E0%A6%82%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0&geo=BD&hl=en-US"
"fuel","2K+","September 21, 2026 at 8:10:00 AM UTC","September 23, 2026 at 12:20:00 PM UTC","fuel,brta","https://trends.google.com/trends/explore?q=fuel&geo=BD&hl=en-US"
"sweden vs romania","1K+","September 25, 2026 at 6:10:00 PM UTC","September 26, 2026 at 1:30:00 AM UTC","sweden vs romania","https://trends.google.com/trends/explore?q=sweden%20vs%20romania&geo=BD&hl=en-US"
"বাংলাদেশ ছাত্রলীগ","1K+","September 25, 2026 at 11:10:00 AM UTC","September 26, 2026 at 1:00:00 AM UTC","বাংলাদেশ ছাত্রলীগ","https://trends.google.com/trends/explore?q=%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%20%E0%A6%9B%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%B2%E0%A7%80%E0%A6%97&geo=BD&hl=en-US"
"mozambique vs senegal","2K+","September 25, 2026 at 1:30:00 PM UTC","September 25, 2026 at 4:40:00 PM UTC","mozambique vs senegal,senegal vs mozambique","https://trends.google.com/trends/explore?q=mozambique%20vs%20senegal&geo=BD&hl=en-US"
"f1","200+","September 26, 2026 at 12:50:00 PM UTC","September 26, 2026 at 2:00:00 PM UTC","f1","https://trends.google.com/trends/explore?q=f1&geo=BD&hl=en-US"
"football live","2K+","September 25, 2026 at 9:00:00 AM UTC","September 25, 2026 at 1:40:00 PM UTC","football live","https://trends.google.com/trends/explore?q=football%20live&geo=BD&hl=en-US"
"জাতিসংঘ নিরাপত্তা পরিষদ","1K+","September 25, 2026 at 8:00:00 AM UTC","September 25, 2026 at 1:30:00 PM UTC","জাতিসংঘ নিরাপত্তা পরিষদ","https://trends.google.com/trends/explore?q=%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B8%E0%A6%82%E0%A6%98%20%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BE%20%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%B7%E0%A6%A6&geo=BD&hl=en-US"
"paris saint germain","2K+","September 21, 2026 at 1:00:00 PM UTC","September 23, 2026 at 12:30:00 PM UTC","paris saint germain","https://trends.google.com/trends/explore?q=paris%20saint%20germain&geo=BD&hl=en-US"
"fc barcelona match","2K+","September 20, 2026 at 12:00:00 PM UTC","September 23, 2026 at 11:40:00 AM UTC","fc barcelona match","https://trends.google.com/trends/explore?q=fc%20barcelona%20match&geo=BD&hl=en-US"
"côte d'ivoire vs ghana","2K+","September 24, 2026 at 6:40:00 PM UTC","September 25, 2026 at 3:20:00 AM UTC","côte d'ivoire vs ghana","https://trends.google.com/trends/explore?q=c%C3%B4te%20d%27ivoire%20vs%20ghana&geo=BD&hl=en-US"
"বিদ্যুৎ সরবরাহ","2K+","September 23, 2026 at 4:20:00 PM UTC","September 24, 2026 at 5:20:00 AM UTC","বিদ্যুৎ সরবরাহ","https://trends.google.com/trends/explore?q=%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A7%8E%20%E0%A6%B8%E0%A6%B0%E0%A6%AC%E0%A6%B0%E0%A6%BE%E0%A6%B9&geo=BD&hl=en-US"
"poland vs bosnia and herzegovina","1K+","September 25, 2026 at 6:00:00 PM UTC","September 25, 2026 at 9:50:00 PM UTC","poland vs bosnia and herzegovina","https://trends.google.com/trends/explore?q=poland%20vs%20bosnia%20and%20herzegovina&geo=BD&hl=en-US"
"দৈনিক প্রথম আলো","2K+","September 24, 2026 at 8:10:00 AM UTC","September 24, 2026 at 4:10:00 PM UTC","দৈনিক প্রথম আলো","https://trends.google.com/trends/explore?q=%E0%A6%A6%E0%A7%88%E0%A6%A8%E0%A6%BF%E0%A6%95%20%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE%20%E0%A6%86%E0%A6%B2%E0%A7%8B&geo=BD&hl=en-US"
"আজকের খেলা","1K+","September 24, 2026 at 5:30:00 PM UTC","September 25, 2026 at 1:40:00 PM UTC","আজকের খেলা","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%9C%E0%A6%95%E0%A7%87%E0%A6%B0%20%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%BE&geo=BD&hl=en-US"
"অর্চিতা স্পর্শিয়া","1K+","September 24, 2026 at 5:10:00 PM UTC","September 25, 2026 at 5:50:00 AM UTC","অর্চিতা স্পর্শিয়া","https://trends.google.com/trends/explore?q=%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A6%BE%20%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE&geo=BD&hl=en-US"
"iraq vs oman","5K+","September 23, 2026 at 1:40:00 PM UTC","September 23, 2026 at 6:10:00 PM UTC","iraq vs oman","https://trends.google.com/trends/explore?q=iraq%20vs%20oman&geo=BD&hl=en-US"
"মুশতাক খান","1K+","September 24, 2026 at 6:40:00 PM UTC","September 25, 2026 at 6:00:00 AM UTC","মুশতাক খান","https://trends.google.com/trends/explore?q=%E0%A6%AE%E0%A7%81%E0%A6%B6%E0%A6%A4%E0%A6%BE%E0%A6%95%20%E0%A6%96%E0%A6%BE%E0%A6%A8&geo=BD&hl=en-US"
"বেতন","5K+","September 22, 2026 at 9:00:00 AM UTC","September 23, 2026 at 5:30:00 PM UTC","বেতন","https://trends.google.com/trends/explore?q=%E0%A6%AC%E0%A7%87%E0%A6%A4%E0%A6%A8&geo=BD&hl=en-US"
"পদ্মা সেতু","2K+","September 23, 2026 at 4:10:00 AM UTC","September 23, 2026 at 6:10:00 PM UTC","পদ্মা সেতু","https://trends.google.com/trends/explore?q=%E0%A6%AA%E0%A6%A6%E0%A7%8D%E0%A6%AE%E0%A6%BE%20%E0%A6%B8%E0%A7%87%E0%A6%A4%E0%A7%81&geo=BD&hl=en-US"
"vivo x500 pro max","5K+","September 23, 2026 at 3:10:00 PM UTC","September 23, 2026 at 11:20:00 PM UTC","vivo x500 pro max,vivo x500,vivo x500 pro,vivo","https://trends.google.com/trends/explore?q=vivo%20x500%20pro%20max&geo=BD&hl=en-US"
"ভিসা","2K+","September 22, 2026 at 6:10:00 PM UTC","September 23, 2026 at 3:00:00 PM UTC","ভিসা","https://trends.google.com/trends/explore?q=%E0%A6%AD%E0%A6%BF%E0%A6%B8%E0%A6%BE&geo=BD&hl=en-US"
"football","1K+","September 25, 2026 at 9:00:00 AM UTC","September 25, 2026 at 3:30:00 PM UTC","football","https://trends.google.com/trends/explore?q=football&geo=BD&hl=en-US"
"শিক্ষা","2K+","September 22, 2026 at 11:40:00 AM UTC","September 23, 2026 at 4:10:00 PM UTC","শিক্ষা","https://trends.google.com/trends/explore?q=%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE&geo=BD&hl=en-US"
"sport","2K+","September 25, 2026 at 8:20:00 AM UTC","September 25, 2026 at 11:40:00 AM UTC","sport","https://trends.google.com/trends/explore?q=sport&geo=BD&hl=en-US"
"sayed abu farchi","1K+","September 24, 2026 at 8:10:00 PM UTC","September 25, 2026 at 5:40:00 AM UTC","sayed abu farchi","https://trends.google.com/trends/explore?q=sayed%20abu%20farchi&geo=BD&hl=en-US"
"gulf cup","2K+","September 23, 2026 at 2:30:00 PM UTC","September 24, 2026 at 3:20:00 AM UTC","gulf cup,united arab emirates vs yemen","https://trends.google.com/trends/explore?q=gulf%20cup&geo=BD&hl=en-US"
"manchester city","500+","September 26, 2026 at 6:20:00 AM UTC","September 26, 2026 at 3:00:00 PM UTC","manchester city","https://trends.google.com/trends/explore?q=manchester%20city&geo=BD&hl=en-US"
"videos","5K+","September 23, 2026 at 12:30:00 PM UTC","September 23, 2026 at 8:10:00 PM UTC","videos,videos video,video videos","https://trends.google.com/trends/explore?q=videos&geo=BD&hl=en-US"
"weather today","2K+","September 22, 2026 at 1:20:00 AM UTC","September 25, 2026 at 2:30:00 AM UTC","weather today","https://trends.google.com/trends/explore?q=weather%20today&geo=BD&hl=en-US"
"fc barcelona femení vs paris fc (women) standings","2K+","September 23, 2026 at 11:00:00 PM UTC","September 24, 2026 at 3:00:00 PM UTC","fc barcelona femení vs paris fc (women) standings,barcelona vs paris fc","https://trends.google.com/trends/explore?q=fc%20barcelona%20femen%C3%AD%20vs%20paris%20fc%20%28women%29%20standings&geo=BD&hl=en-US"
"ban vs","1K+","September 25, 2026 at 8:40:00 AM UTC","September 25, 2026 at 12:50:00 PM UTC","ban vs","https://trends.google.com/trends/explore?q=ban%20vs&geo=BD&hl=en-US"
"bb","100+","September 26, 2026 at 2:50:00 PM UTC","September 26, 2026 at 3:30:00 PM UTC","bb","https://trends.google.com/trends/explore?q=bb&geo=BD&hl=en-US"
"আজকের আবহাওয়া","2K+","September 22, 2026 at 3:40:00 PM UTC","September 26, 2026 at 2:00:00 AM UTC","আজকের আবহাওয়া","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%9C%E0%A6%95%E0%A7%87%E0%A6%B0%20%E0%A6%86%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE&geo=BD&hl=en-US"
"hong kong vs malaysia","2K+","September 24, 2026 at 4:50:00 AM UTC","September 24, 2026 at 9:10:00 AM UTC","hong kong vs malaysia","https://trends.google.com/trends/explore?q=hong%20kong%20vs%20malaysia&geo=BD&hl=en-US"
"tiktok","200+","September 26, 2026 at 12:40:00 PM UTC","September 26, 2026 at 3:50:00 PM UTC","tiktok,m","https://trends.google.com/trends/explore?q=tiktok&geo=BD&hl=en-US"
"2027 hyundai tucson hybrid","2K+","September 21, 2026 at 6:40:00 PM UTC","September 23, 2026 at 1:30:00 AM UTC","2027 hyundai tucson hybrid","https://trends.google.com/trends/explore?q=2027%20hyundai%20tucson%20hybrid&geo=BD&hl=en-US"
"atlante vs monterrey","200+","September 26, 2026 at 1:40:00 AM UTC","September 26, 2026 at 4:00:00 AM UTC","atlante vs monterrey","https://trends.google.com/trends/explore?q=atlante%20vs%20monterrey&geo=BD&hl=en-US"
"hugo souza","1K+","September 25, 2026 at 9:50:00 AM UTC","September 25, 2026 at 12:30:00 PM UTC","hugo souza,vitor reis","https://trends.google.com/trends/explore?q=hugo%20souza&geo=BD&hl=en-US"
"live","1K+","September 25, 2026 at 9:00:00 AM UTC","September 25, 2026 at 12:10:00 PM UTC","live","https://trends.google.com/trends/explore?q=live&geo=BD&hl=en-US"
"dr congo vs equatorial guinea","2K+","September 24, 2026 at 3:40:00 PM UTC","September 24, 2026 at 7:00:00 PM UTC","dr congo vs equatorial guinea","https://trends.google.com/trends/explore?q=dr%20congo%20vs%20equatorial%20guinea&geo=BD&hl=en-US"
"sporty app","1K+","September 25, 2026 at 8:40:00 AM UTC","September 25, 2026 at 11:40:00 AM UTC","sporty app","https://trends.google.com/trends/explore?q=sporty%20app&geo=BD&hl=en-US"
"শাহরুখ খান","2K+","September 22, 2026 at 6:10:00 PM UTC","September 23, 2026 at 4:30:00 PM UTC","শাহরুখ খান","https://trends.google.com/trends/explore?q=%E0%A6%B6%E0%A6%BE%E0%A6%B9%E0%A6%B0%E0%A7%81%E0%A6%96%20%E0%A6%96%E0%A6%BE%E0%A6%A8&geo=BD&hl=en-US"
"qatar vs bahrain","1K+","September 24, 2026 at 5:30:00 PM UTC","September 24, 2026 at 9:20:00 PM UTC","qatar vs bahrain","https://trends.google.com/trends/explore?q=qatar%20vs%20bahrain&geo=BD&hl=en-US"
"জয়া আহসান","100+","September 26, 2026 at 1:30:00 PM UTC","September 26, 2026 at 5:30:00 PM UTC","জয়া আহসান","https://trends.google.com/trends/explore?q=%E0%A6%9C%E0%A6%AF%E0%A6%BC%E0%A6%BE%20%E0%A6%86%E0%A6%B9%E0%A6%B8%E0%A6%BE%E0%A6%A8&geo=BD&hl=en-US"
"xi jinping","1K+","September 24, 2026 at 1:50:00 PM UTC","September 24, 2026 at 10:30:00 PM UTC","xi jinping","https://trends.google.com/trends/explore?q=xi%20jinping&geo=BD&hl=en-US"
"football live score","1K+","September 25, 2026 at 10:00:00 AM UTC","September 25, 2026 at 1:50:00 PM UTC","football live score,live football score","https://trends.google.com/trends/explore?q=football%20live%20score&geo=BD&hl=en-US"
"পদ্মা নদী","2K+","September 23, 2026 at 7:30:00 AM UTC","September 23, 2026 at 4:10:00 PM UTC","পদ্মা নদী","https://trends.google.com/trends/explore?q=%E0%A6%AA%E0%A6%A6%E0%A7%8D%E0%A6%AE%E0%A6%BE%20%E0%A6%A8%E0%A6%A6%E0%A7%80&geo=BD&hl=en-US"
"পদোন্নতি","1K+","September 24, 2026 at 5:30:00 AM UTC","September 24, 2026 at 12:20:00 PM UTC","পদোন্নতি","https://trends.google.com/trends/explore?q=%E0%A6%AA%E0%A6%A6%E0%A7%8B%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%A4%E0%A6%BF&geo=BD&hl=en-US"
"sports app","1K+","September 25, 2026 at 8:30:00 AM UTC","September 25, 2026 at 11:30:00 AM UTC","sports app","https://trends.google.com/trends/explore?q=sports%20app&geo=BD&hl=en-US"
"norway vs","1K+","September 24, 2026 at 7:10:00 PM UTC","September 25, 2026 at 3:30:00 AM UTC","norway vs","https://trends.google.com/trends/explore?q=norway%20vs&geo=BD&hl=en-US"
"ঢাকা","1K+","September 24, 2026 at 5:00:00 PM UTC","September 25, 2026 at 2:40:00 AM UTC","ঢাকা","https://trends.google.com/trends/explore?q=%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE&geo=BD&hl=en-US"
"brazil khela","1K+","September 25, 2026 at 10:30:00 AM UTC","September 25, 2026 at 2:00:00 PM UTC","brazil khela,ব্রাজিল জাতীয় ফুটবল দল","https://trends.google.com/trends/explore?q=brazil%20khela&geo=BD&hl=en-US"
"গাজী নজরুল ইসলাম","2K+","September 22, 2026 at 9:30:00 AM UTC","September 23, 2026 at 4:40:00 AM UTC","গাজী নজরুল ইসলাম","https://trends.google.com/trends/explore?q=%E0%A6%97%E0%A6%BE%E0%A6%9C%E0%A7%80%20%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2%20%E0%A6%87%E0%A6%B8%E0%A6%B2%E0%A6%BE%E0%A6%AE&geo=BD&hl=en-US"
"marc-andré ter stegen","1K+","September 24, 2026 at 7:20:00 PM UTC","September 25, 2026 at 4:10:00 AM UTC","marc-andré ter stegen","https://trends.google.com/trends/explore?q=marc-andr%C3%A9%20ter%20stegen&geo=BD&hl=en-US"
"marco jansen","1K+","September 24, 2026 at 9:40:00 AM UTC","September 24, 2026 at 9:40:00 PM UTC","marco jansen,matt renshaw","https://trends.google.com/trends/explore?q=marco%20jansen&geo=BD&hl=en-US"
"ঢাকা মেট্রোরেল","2K+","September 23, 2026 at 8:20:00 AM UTC","September 23, 2026 at 6:30:00 PM UTC","ঢাকা মেট্রোরেল","https://trends.google.com/trends/explore?q=%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE%20%E0%A6%AE%E0%A7%87%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%8B%E0%A6%B0%E0%A7%87%E0%A6%B2&geo=BD&hl=en-US"
"হাসান মাসুদ","2K+","September 22, 2026 at 9:20:00 AM UTC","September 23, 2026 at 3:00:00 AM UTC","হাসান মাসুদ","https://trends.google.com/trends/explore?q=%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%BE%E0%A6%A8%20%E0%A6%AE%E0%A6%BE%E0%A6%B8%E0%A7%81%E0%A6%A6&geo=BD&hl=en-US"
"erling haaland","500+","September 24, 2026 at 8:50:00 PM UTC","September 25, 2026 at 3:20:00 AM UTC","erling haaland","https://trends.google.com/trends/explore?q=erling%20haaland&geo=BD&hl=en-US"
"গ্রেফতার","1K+","September 23, 2026 at 5:00:00 PM UTC","September 24, 2026 at 2:50:00 AM UTC","গ্রেফতার","https://trends.google.com/trends/explore?q=%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AB%E0%A6%A4%E0%A6%BE%E0%A6%B0&geo=BD&hl=en-US"
"জাতিসংঘ","1K+","September 25, 2026 at 3:30:00 AM UTC","September 25, 2026 at 1:40:00 PM UTC","জাতিসংঘ,prothom alo","https://trends.google.com/trends/explore?q=%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B8%E0%A6%82%E0%A6%98&geo=BD&hl=en-US"
"concacaf nations league","500+","September 25, 2026 at 2:10:00 AM UTC","September 25, 2026 at 6:40:00 AM UTC","concacaf nations league","https://trends.google.com/trends/explore?q=concacaf%20nations%20league&geo=BD&hl=en-US"
"আবহাওয়া","5K+","September 23, 2026 at 12:00:00 AM UTC","September 23, 2026 at 3:00:00 AM UTC","আবহাওয়া,আগামীকালের আবহাওয়া,ভারী বৃষ্টি,আবহাওয়া আবহাওয়া,ঘূর্ণিঝড়","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE&geo=BD&hl=en-US"
"arsenal","2K+","September 20, 2026 at 7:40:00 AM UTC","September 20, 2026 at 6:20:00 PM UTC","arsenal","https://trends.google.com/trends/explore?q=arsenal&geo=BD&hl=en-US"
"আবহাওয়া","2K+","September 23, 2026 at 11:20:00 PM UTC","September 24, 2026 at 2:50:00 AM UTC","আবহাওয়া,তরলীকৃত প্রাকৃতিক গ্যাস","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE&geo=BD&hl=en-US"
"wasim akram","1K+","September 24, 2026 at 12:20:00 AM UTC","September 24, 2026 at 5:30:00 AM UTC","wasim akram","https://trends.google.com/trends/explore?q=wasim%20akram&geo=BD&hl=en-US"
"el salvador vs martinique","200+","September 26, 2026 at 3:30:00 AM UTC","September 26, 2026 at 5:10:00 AM UTC","el salvador vs martinique","https://trends.google.com/trends/explore?q=el%20salvador%20vs%20martinique&geo=BD&hl=en-US"
"estêvão willian","500+","September 25, 2026 at 9:40:00 AM UTC","September 25, 2026 at 1:20:00 PM UTC","estêvão willian","https://trends.google.com/trends/explore?q=est%C3%AAv%C3%A3o%20willian&geo=BD&hl=en-US"
"samsung galaxy","2K+","September 23, 2026 at 8:40:00 AM UTC","September 23, 2026 at 3:10:00 PM UTC","samsung galaxy","https://trends.google.com/trends/explore?q=samsung%20galaxy&geo=BD&hl=en-US"
"তুরস্ক","1K+","September 21, 2026 at 7:40:00 AM UTC","September 23, 2026 at 12:40:00 AM UTC","তুরস্ক,বাংলাদেশ","https://trends.google.com/trends/explore?q=%E0%A6%A4%E0%A7%81%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%95&geo=BD&hl=en-US"
"s","1K+","September 25, 2026 at 8:50:00 AM UTC","September 25, 2026 at 10:50:00 AM UTC","s","https://trends.google.com/trends/explore?q=s&geo=BD&hl=en-US"
"play store","100+","September 26, 2026 at 11:40:00 AM UTC","September 26, 2026 at 3:50:00 PM UTC","play store","https://trends.google.com/trends/explore?q=play%20store&geo=BD&hl=en-US"
"বিশ্ব","1K+","September 24, 2026 at 6:20:00 PM UTC","September 25, 2026 at 4:10:00 AM UTC","বিশ্ব,বাংলাদেশ","https://trends.google.com/trends/explore?q=%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC&geo=BD&hl=en-US"
"leicester city vs fulham u-21","2K+","September 22, 2026 at 6:10:00 PM UTC","September 23, 2026 at 3:10:00 AM UTC","leicester city vs fulham u-21","https://trends.google.com/trends/explore?q=leicester%20city%20vs%20fulham%20u-21&geo=BD&hl=en-US"
"ফিফা আসিয়ান কাপ ২০২৬","200+","September 25, 2026 at 2:30:00 PM UTC","September 25, 2026 at 6:20:00 PM UTC","ফিফা আসিয়ান কাপ ২০২৬","https://trends.google.com/trends/explore?q=%E0%A6%AB%E0%A6%BF%E0%A6%AB%E0%A6%BE%20%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%A8%20%E0%A6%95%E0%A6%BE%E0%A6%AA%20%E0%A7%A8%E0%A7%A6%E0%A7%A8%E0%A7%AC&geo=BD&hl=en-US"
"মহিবুল হাসান চৌধুরী নওফেল","1K+","September 22, 2026 at 10:50:00 AM UTC","September 23, 2026 at 2:30:00 AM UTC","মহিবুল হাসান চৌধুরী নওফেল","https://trends.google.com/trends/explore?q=%E0%A6%AE%E0%A6%B9%E0%A6%BF%E0%A6%AC%E0%A7%81%E0%A6%B2%20%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%BE%E0%A6%A8%20%E0%A6%9A%E0%A7%8C%E0%A6%A7%E0%A7%81%E0%A6%B0%E0%A7%80%20%E0%A6%A8%E0%A6%93%E0%A6%AB%E0%A7%87%E0%A6%B2&geo=BD&hl=en-US"
"ইসরাইল","100+","September 26, 2026 at 10:40:00 AM UTC","September 26, 2026 at 11:20:00 AM UTC","ইসরাইল","https://trends.google.com/trends/explore?q=%E0%A6%87%E0%A6%B8%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%B2&geo=BD&hl=en-US"
